School Name,Roll/DENI Number,Experience,Event Start,Event End,School Name Clean,Year,county,DEIS (Y/N)
presentation college bray,60792C,Dream Space Academy for Post-Primary,2018-11-06 10:00:00,06/11/2018 13:00,presentation college bray,2018,Dublin,Y
coláiste iósaef,76070A,Dream Space Academy for Post-Primary,2018-11-06 14:00:00,06/11/2018 17:00,coláiste iósaef,2018,Limerick,Y
colaiste na mi,76173K,Dream Space Academy for Post-Primary,2018-11-07 10:00:00,07/11/2018 13:00,colaiste na mi,2018,Meath,N
st. gerards junior school,61811I,Dream Space Academy for Primary,2018-11-07 14:00:00,07/11/2018 17:00,st. gerards junior school,2018,Wicklow,N
st peters college dunboyne,71950F,Dream Space Academy for Post-Primary,2018-11-08 10:00:00,08/11/2018 13:00,st peters college dunboyne,2018,,
spoil phadraig naofa,16705E,Dream Space Academy for Primary,2018-11-09 10:00:00,09/11/2018 13:00,spoil phadraig naofa,2018,Kildare,Y
mount sion primary,19947U,Dream Space Academy for Primary,2018-11-13 14:00:00,13/11/2018 17:00,mount sion primary,2018,Waterford,Y
s.n. iorball sionnaigh,16923O,Dream Space Academy for Primary,2018-11-14 10:00:00,14/11/2018 13:00,s.n. iorball sionnaigh,2018,Monaghan,N
killinarden community school,91337B,Dream Space Academy for Post-Primary,2018-11-15 14:00:00,15/11/2018 17:00,killinarden community school,2018,Dublin,Y
gallen c s,91515W,Dream Space Academy for Post-Primary,2018-11-16 14:00:00,16/11/2018 17:00,gallen c s,2018,Offaly,N
marian college,60500J,Dream Space Academy for Post-Primary,2018-11-21 10:00:00,21/11/2018 13:00,marian college,2018,Dublin,Y
coláiste mhuirlinne/merlin college,76096S,Dream Space Academy for Post-Primary,2018-11-21 14:00:00,21/11/2018 17:00,coláiste mhuirlinne/merlin college,2018,Galway,Y
coláiste chill mhantáin,76099B,Dream Space Academy for Post-Primary,2018-11-23 10:00:00,23/11/2018 13:00,coláiste chill mhantáin,2018,Wicklow,Y
kildare town community school,91530S,Dream Space Academy for Post-Primary,2018-11-27 10:00:00,27/11/2018 13:00,kildare town community school,2018,Kildare,N
gortnor abbey,64630T,Dream Space Academy for Post-Primary,2018-11-27 14:00:00,27/11/2018 17:00,gortnor abbey,2018,,
st marys cbs enniscorthy,63560T,Dream Space Academy for Post-Primary,2018-11-28 10:00:00,28/11/2018 13:00,st marys cbs enniscorthy,2018,,
scariff community college,70900I,Dream Space Academy for Post-Primary,2018-11-28 14:00:00,28/11/2018 17:00,scariff community college,2018,Clare,N
carnaross ns,16991I,Dream Space Academy for Primary,2018-11-30 10:00:00,30/11/2018 13:00,carnaross ns,2018,Meath,N
st cremins multyfarnham,19350I,Dream Space Academy for Primary,2018-11-30 14:00:00,30/11/2018 17:00,st cremins multyfarnham,2018,Westmeath,N
st. marys college dundalk,63890R,Dream Space Academy for Post-Primary,2018-12-04 10:00:00,04/12/2018 13:00,st. marys college dundalk,2018,Louth,N
st. josephs bns,63840C,Dream Space Academy for Primary,2018-12-05 10:00:00,05/12/2018 13:00,st. josephs bns,2018,Louth,N
castleknock educate together national school,20457K,Dream Space Academy for Primary,2018-12-06 10:00:00,06/12/2018 13:00,castleknock educate together national school,2018,Mayo,N
scoil mhuire beal átha n ghaorthaidh,0931T,Dream Space Academy for Post-Primary,2018-12-06 14:00:00,06/12/2018 17:00,scoil mhuire beal átha n ghaorthaidh,2018,,
court n.s,13335F,Dream Space Academy for Primary,2018-12-07 09:30:00,07/12/2018 12:30,court n.s,2018,Wexford,N
presentation college bray,60792C,Dream Space Academy for Post-Primary,2018-12-11 09:30:00,11/12/2018 12:30,presentation college bray,2018,Dublin,Y
firhouse educate together secondary school,68307J,Dream Space Academy for Post-Primary,2018-12-11 14:00:00,11/12/2018 17:00,firhouse educate together secondary school,2018,Dublin,N
carrigabruiuse national school,18857O,Dream Space Academy for Primary,2018-12-12 10:00:00,12/12/2018 13:00,carrigabruiuse national school,2018,Cavan,N
scoil iognaid,16910F,Dream Space Academy for Primary,2018-12-12 14:00:00,12/12/2018 17:00,scoil iognaid,2018,Limerick,Y
mount saint michaels,62470N,Dream Space Academy for Post-Primary,2018-12-13 11:00:00,13/12/2018 14:00,mount saint michaels,2018,Cork,N
st finian’s college mullingar,63280N,Dream Space Academy for Post-Primary,2018-12-17 10:00:00,17/12/2018 13:00,st finian’s college mullingar,2018,Westmeath,N
st. kilians german scxhool,60630W,Dream Space Academy for Primary,2018-12-17 14:00:00,17/12/2018 17:00,st. kilians german scxhool,2018,Dublin,N
st. brendans primary school,14556D,Dream Space Academy for Primary,2018-12-18 11:00:00,18/12/2018 14:00,st. brendans primary school,2018,Dublin,Y
drumbaragh ns,10801Q,Dream Space Academy for Primary,2018-12-19 09:30:00,19/12/2018 12:30,drumbaragh ns,2018,Meath,N
ballinteer educate together ns,20171P,Dream Space Academy for Primary,2018-12-20 09:30:00,20/12/2018 12:30,ballinteer educate together ns,2018,Louth,Y
castletroy college,76073G,Dream Space Academy for Post-Primary,2019-01-08 11:00:00,08/01/2019 14:00,castletroy college,2019,Limerick,N
scoil phadraic cailíní,18412W,Dream Space Academy for Primary,2019-01-09 09:30:00,09/01/2019 12:30,scoil phadraic cailíní,2019,Dublin,N
inver college,72180K,Dream Space Academy for Post-Primary,2019-01-09 14:00:00,09/01/2019 17:00,inver college,2019,Monaghan,Y
ardgillan college balbriggan,76129H,Dream Space Academy for Post-Primary,2019-01-10 09:30:00,10/01/2019 12:30,ardgillan college balbriggan,2019,Dublin,N
st.patricks classical school,64350N,Dream Space Academy for Post-Primary,2019-01-10 14:00:00,10/01/2019 17:00,st.patricks classical school,2019,Meath,N
