School Name,Roll/DENI Number,Experience,Event Start,Event End,School Name Clean,Year,county,DEIS (Y/N)
st gerards school,61811I,Dream Space Academy for Post-Primary,2019-09-09 14:00:00,09/09/2019 17:00,st gerards school,2019,Wicklow,N
gaelcholaiste reachrann,76085N,Dream Space Academy for Post-Primary,2019-09-10 09:30:00,10/09/2019 12:30,gaelcholaiste reachrann,2019,Dublin,N
kill of the grange,250,Dream Space Academy for Primary,2019-09-10 14:00:00,10/09/2019 17:00,kill of the grange,2019,,
divine word ns,19574H,Dream Space Academy for Primary,2019-09-11 09:30:00,11/09/2019 12:30,divine word ns,2019,Dublin,N
ranelagh multi-denominational school,19928Q,Dream Space Academy for Primary,2019-09-12 09:30:00,12/09/2019 12:30,ranelagh multi-denominational school,2019,Dublin,N
sacred heart of jesus ns,19755L,Dream Space Academy for Primary,2019-09-13 14:00:00,13/09/2019 17:00,sacred heart of jesus ns,2019,Dublin,N
avondale community college rathdrum co. wicklow,70810H,Dream Space Academy for Post-Primary,2019-09-16 09:30:00,16/09/2019 12:30,avondale community college rathdrum co. wicklow,2019,Wicklow,Y
abbey community college,76072E,Dream Space Academy for Post-Primary,2019-09-16 14:00:00,16/09/2019 17:00,abbey community college,2019,Roscommon,N
gaelcholáiste chiarraí,70560K,Dream Space Academy for Post-Primary,2019-09-17 09:30:00,17/09/2019 12:30,gaelcholáiste chiarraí,2019,Kerry,N
gaelcholáiste chiarraí,70560K,Dream Space Academy for Post-Primary,2019-09-17 14:00:00,17/09/2019 17:00,gaelcholáiste chiarraí,2019,Kerry,N
st. marys secondary school edenderry,65582Q,Dream Space Academy for Post-Primary,2019-09-20 09:30:00,20/09/2019 12:30,st. marys secondary school edenderry,2019,,
st ronans college,5420314,Dream Space Academy for Post-Primary,2019-09-20 14:00:00,20/09/2019 17:00,st ronans college,2019,,
avondale community college,70810H,Dream Space Academy for Post-Primary,2019-09-24 09:30:00,24/09/2019 12:30,avondale community college,2019,Wicklow,Y
st joseph of cluny secondary school co dublin,60260P,Dream Space Academy for Post-Primary,2019-09-24 14:00:00,24/09/2019 17:00,st joseph of cluny secondary school co dublin,2019,Dublin,N
scoil ui riada,19897I,Dream Space Academy for Primary,2019-09-27 09:30:00,27/09/2019 12:30,scoil ui riada,2019,Kildare,N
scoil chonaill,18219F,Dream Space Academy for Primary,2019-09-27 14:00:00,27/09/2019 17:00,scoil chonaill,2019,Donegal,Y
ofiaich college,71770D,Dream Space Academy for Post-Primary,2019-10-01 09:30:00,01/10/2019 12:30,ofiaich college,2019,Louth,Y
our lady of mercy,60991I,Dream Space Academy for Post-Primary,2019-10-01 14:00:00,01/10/2019 17:00,our lady of mercy,2019,Dublin,Y
st josephh of cluny secondary school co dublin,60260P,Dream Space Academy for Post-Primary,2019-10-02 14:00:00,02/10/2019 17:00,st josephh of cluny secondary school co dublin,2019,Dublin,N
luttrellstown cc,76130P,Dream Space Academy for Post-Primary,2019-10-04 09:30:00,04/10/2019 12:30,luttrellstown cc,2019,Dublin,N
st felims boys national school,17326B,Dream Space Academy for Primary,2019-10-04 14:00:00,04/10/2019 17:00,st felims boys national school,2019,Cavan,Y
pobalscoil neasáin,91342R,Dream Space Academy for Post-Primary,2019-10-08 09:30:00,08/10/2019 12:30,pobalscoil neasáin,2019,Dublin,N
temple carrig school,68081J,Dream Space Academy for Post-Primary,2019-10-08 14:00:00,08/10/2019 17:00,temple carrig school,2019,Wicklow,N
st. augustines ns clontuskert,17919F,Dream Space Academy for Primary,2019-10-09 09:30:00,09/10/2019 12:30,st. augustines ns clontuskert,2019,Galway,N
st killians college,71310P,Dream Space Academy for Post-Primary,2019-10-09 14:00:00,09/10/2019 17:00,st killians college,2019,Galway,N
scoil na naingeal naofa,15043C,Dream Space Academy for Primary,2019-10-11 09:30:00,11/10/2019 12:30,scoil na naingeal naofa,2019,Roscommon,N
manor house school,60300B,Dream Space Academy for Post-Primary,2019-10-14 09:30:00,14/10/2019 12:30,manor house school,2019,Dublin,N
presentation secondary clonmel,65340P,Dream Space Academy for Post-Primary,2019-10-14 14:00:00,14/10/2019 17:00,presentation secondary clonmel,2019,,
delgany n.s.,13679O,Dream Space Academy for Primary,2019-10-15 09:30:00,15/10/2019 12:30,delgany n.s.,2019,Wicklow,N
glenageary killiney ns,19400U,Dream Space Academy for Primary,2019-10-16 09:30:00,16/10/2019 12:30,glenageary killiney ns,2019,Dublin,N
scoil phadraig naofa,16080N,Dream Space Academy for Primary,2019-10-17 09:30:00,17/10/2019 12:30,scoil phadraig naofa,2019,Carlow,Y
scoil phadraig naofa,16080N,Dream Space Academy for Primary,2019-10-17 09:30:00,17/10/2019 12:30,scoil phadraig naofa,2019,Carlow,Y
scoil phadraig naofa,16080N,Dream Space Academy for Primary,2019-10-17 09:30:00,17/10/2019 12:30,scoil phadraig naofa,2019,Carlow,Y
grange post primary school,72330D,Dream Space Academy for Post-Primary,2019-10-17 14:00:00,17/10/2019 17:00,grange post primary school,2019,Sligo,N
blackstaff ns,18820O,Dream Space Academy for Primary,2019-10-22 09:30:00,22/10/2019 12:30,blackstaff ns,2019,Monaghan,Y
ballinamore community school,91519H,Dream Space Academy for Post-Primary,2019-10-24 14:00:00,24/10/2019 17:00,ballinamore community school,2019,Leitrim,N
st. marys secondary school,60021U,Dream Space Academy for Post-Primary,2019-10-25 09:30:00,25/10/2019 12:30,st. marys secondary school,2019,Dublin,N
st patricks classical school navan,64350N,Dream Space Academy for Post-Primary,2019-11-04 14:00:00,04/11/2019 17:00,st patricks classical school navan,2019,Meath,N
st michaels college,60561G,Dream Space Academy for Post-Primary,2019-11-05 14:00:00,05/11/2019 17:00,st michaels college,2019,Dublin,N
st gerards js,61811I,Dream Space Academy for Primary,2019-11-06 14:00:00,06/11/2019 17:00,st gerards js,2019,Wicklow,N
gaelscoil bhaile brigín,20252P,Dream Space Academy for Primary,2019-11-07 09:30:00,07/11/2019 12:30,gaelscoil bhaile brigín,2019,Dublin,N
st. clares primary school,16651H,Dream Space Academy for Primary,2019-11-07 14:00:00,07/11/2019 17:00,st. clares primary school,2019,Dublin,N
scoil oilibhéir naofa,176520,Dream Space Academy for Primary,2019-11-08 14:00:00,08/11/2019 17:00,scoil oilibhéir naofa,2019,,
st macdaras cc,70260V,Dream Space Academy for Post-Primary,2019-11-12 14:00:00,12/11/2019 17:00,st macdaras cc,2019,Dublin,N
firhouse educate together secondary school,68307J,Dream Space Academy for Post-Primary,2019-11-13 09:30:00,13/11/2019 12:30,firhouse educate together secondary school,2019,Dublin,N
gaelscoil moshíológ,20165U,Dream Space Academy for Primary,2019-11-14 09:30:00,14/11/2019 12:30,gaelscoil moshíológ,2019,Wexford,N
coláiste eoin,60041D,Dream Space Academy for Post-Primary,2019-11-15 09:30:00,15/11/2019 12:30,coláiste eoin,2019,Dublin,N
newpark comprehensive school,81001I,Dream Space Academy for Post-Primary,2019-11-15 14:00:00,15/11/2019 17:00,newpark comprehensive school,2019,Dublin,N
ardgillan community college,76129H,Dream Space Academy for Post-Primary,2019-11-19 09:30:00,19/11/2019 12:30,ardgillan community college,2019,Dublin,N
st. brigids bns,16352U,Dream Space Academy for Primary,2019-11-19 14:00:00,19/11/2019 17:00,st. brigids bns,2019,Dublin,N
kishoge community college,76152C,Dream Space Academy for Post-Primary,2019-11-20 09:30:00,20/11/2019 12:30,kishoge community college,2019,Dublin,N
thomond community college,76414G,Dream Space Academy for Post-Primary,2019-11-21 09:30:00,21/11/2019 12:30,thomond community college,2019,Limerick,Y
saint josephs,19913D,Dream Space Academy for Primary,2019-11-21 14:00:00,21/11/2019 17:00,saint josephs,2019,Dublin,Y
our ladys of wayside kilternan,18806U,Dream Space Academy for Primary,2019-11-25 09:30:00,25/11/2019 12:30,our ladys of wayside kilternan,2019,Dublin,N
loreto foxrock,60240J,Dream Space Academy for Post-Primary,2019-11-25 14:00:00,25/11/2019 17:00,loreto foxrock,2019,Dublin,N
banagher college,76105Q,Dream Space Academy for Post-Primary,2019-11-26 14:00:00,26/11/2019 17:00,banagher college,2019,Offaly,N
colaiste pobaill setanta,76098W,Dream Space Academy for Post-Primary,2019-11-28 14:00:00,28/11/2019 17:00,colaiste pobaill setanta,2019,Dublin,N
assumption secondary school,60851P,Dream Space Academy for Post-Primary,2019-11-29 14:00:00,29/11/2019 17:00,assumption secondary school,2019,Dublin,Y
griffith barracks multi denominational school,20012S,Dream Space Academy for Primary,2019-12-02 09:30:00,02/12/2019 12:30,griffith barracks multi denominational school,2019,Dublin,N
st patricks classical school navn,64350N,Dream Space Academy for Post-Primary,2019-12-02 14:00:00,02/12/2019 17:00,st patricks classical school navn,2019,Meath,N
scoil bhride athgarvan,13350B,Dream Space Academy for Primary,2019-12-05 09:30:00,05/12/2019 12:30,scoil bhride athgarvan,2019,Kildare,N
scoil santain,19646G,Dream Space Academy for Primary,2019-12-06 09:30:00,06/12/2019 12:30,scoil santain,2019,Dublin,Y
st. audoens,20104A,Dream Space Academy for Primary,2019-12-09 09:30:00,09/12/2019 12:30,st. audoens,2019,Dublin,Y
ennistymon vocational school,70840Q,Dream Space Academy for Post-Primary,2019-12-09 14:00:00,09/12/2019 17:00,ennistymon vocational school,2019,Clare,Y
our ladys school,60860Q,Dream Space Academy for Post-Primary,2019-12-10 09:30:00,10/12/2019 12:30,our ladys school,2019,Dublin,N
bailieborough community school,91351S,Dream Space Academy for Post-Primary,2019-12-10 14:00:00,10/12/2019 17:00,bailieborough community school,2019,Cavan,N
hartstown community school,91339F,Dream Space Academy for Post-Primary,2019-12-11 09:30:00,11/12/2019 12:30,hartstown community school,2019,Dublin,N
colaiste chiaran,71840V,Dream Space Academy for Post-Primary,2019-12-12 14:00:00,12/12/2019 17:00,colaiste chiaran,2019,Limerick,Y
scoil bhride athgarvan,13350B,Dream Space Academy for Primary,2019-12-13 09:30:00,13/12/2019 12:30,scoil bhride athgarvan,2019,Kildare,N
scoil namoh caoimhin,19465,Dream Space Academy for Primary,2019-12-16 09:30:00,16/12/2019 12:30,scoil namoh caoimhin,2019,,
belgrove sgns,17148D,Dream Space Academy for Primary,2019-12-17 09:30:00,17/12/2019 12:30,belgrove sgns,2019,Dublin,N
mount st michael,6462OQ,Dream Space Academy for Post-Primary,2019-12-17 14:00:00,17/12/2019 17:00,mount st michael,2019,,
stratford national school,16966J,Dream Space Academy for Primary,2019-12-18 14:00:00,18/12/2019 17:00,stratford national school,2019,Dublin,N
brierhill,17845C,Dream Space Academy for Primary,2019-12-19 14:00:00,19/12/2019 17:00,brierhill,2019,Galway,N
st. josephs national school,19938T,Dream Space Academy for Primary,2020-01-07 09:30:00,07/01/2020 12:30,st. josephs national school,2020,Dublin,Y
st. conleths college js,60590N,Dream Space Academy for Primary,2020-01-07 14:00:00,07/01/2020 17:00,st. conleths college js,2020,Dublin,N
st. farnans post primary school,70720G,Dream Space Academy for Post-Primary,2020-01-08 14:00:00,08/01/2020 17:00,st. farnans post primary school,2020,Kildare,Y
st raphaelas,60361V,Dream Space Academy for Post-Primary,2020-01-09 09:30:00,09/01/2020 12:30,st raphaelas,2020,Dublin,N
dominican college muckross park,60710U,Dream Space Academy for Post-Primary,2020-01-09 14:00:00,09/01/2020 17:00,dominican college muckross park,2020,Dublin,N
john scottus,68071G,Dream Space Academy for Post-Primary,2020-01-10 09:30:00,10/01/2020 12:30,john scottus,2020,Dublin,N
scoil naoimh éanna,05501A,Dream Space Academy for Primary,2020-01-14 14:00:00,14/01/2020 17:00,scoil naoimh éanna,2020,Monaghan,N
ardscoilnamara,68141B,Dream Space Academy for Post-Primary,2020-01-16 14:00:00,16/01/2020 17:00,ardscoilnamara,2020,Waterford,N
bunscoil na toirbhirte,16128P,Dream Space Academy for Primary,2020-01-17 14:00:00,17/01/2020 17:00,bunscoil na toirbhirte,2020,Cork,N
headfort school,136,Dream Space Academy for Primary,2020-01-20 14:00:00,20/01/2020 17:00,headfort school,2020,,
st. pius x gns,19178W,Dream Space Academy for Primary,2020-01-21 09:30:00,21/01/2020 12:30,st. pius x gns,2020,Dublin,N
springdale ns,18646B,Dream Space Academy for Primary,2020-01-21 14:00:00,21/01/2020 17:00,springdale ns,2020,Dublin,N
gaelscoil na gcloch liath,20301C,Dream Space Academy for Primary,2020-01-23 09:30:00,23/01/2020 12:30,gaelscoil na gcloch liath,2020,Wicklow,N
cistercian college,65410K,Dream Space Academy for Post-Primary,2020-01-23 14:00:00,23/01/2020 17:00,cistercian college,2020,Tipperary,N
our lady queen of peace,17737W,Dream Space Academy for Primary,2020-01-27 09:30:00,27/01/2020 12:30,our lady queen of peace,2020,Limerick,Y
corpus christi primary school,19830W,Dream Space Academy for Primary,2020-01-28 09:30:00,28/01/2020 12:30,corpus christi primary school,2020,Limerick,Y
thomond primary school,20460W,Dream Space Academy for Primary,2020-01-29 09:30:00,29/01/2020 12:30,thomond primary school,2020,Limerick,Y
presentation primary school,20018H,Dream Space Academy for Primary,2020-01-29 14:00:00,29/01/2020 17:00,presentation primary school,2020,Limerick,Y
presentation primary school,20018H,Dream Space Academy for Primary,2020-01-29 14:00:00,29/01/2020 17:00,presentation primary school,2020,Limerick,Y
presentation primary school,20018H,Dream Space Academy for Primary,2020-01-29 14:00:00,29/01/2020 17:00,presentation primary school,2020,Limerick,Y
presentation primary school,20018H,Dream Space Academy for Primary,2020-01-29 14:00:00,29/01/2020 17:00,presentation primary school,2020,Limerick,Y
presentation primary school,20018H,Dream Space Academy for Primary,2020-01-29 14:00:00,29/01/2020 17:00,presentation primary school,2020,Limerick,Y
presentation primary school,20018H,Dream Space Academy for Primary,2020-01-29 14:00:00,29/01/2020 17:00,presentation primary school,2020,Limerick,Y
presentation primary school,20018H,Dream Space Academy for Primary,2020-01-29 14:00:00,29/01/2020 17:00,presentation primary school,2020,Limerick,Y
presentation primary school,20018H,Dream Space Academy for Primary,2020-01-29 14:00:00,29/01/2020 17:00,presentation primary school,2020,Limerick,Y
st. munchins college,64240G,Dream Space Academy for Post-Primary,2020-01-30 14:00:00,30/01/2020 17:00,st. munchins college,2020,Limerick,N
st. johns girls national school,06936R,Dream Space Academy for Primary,2020-01-31 09:30:00,31/01/2020 12:30,st. johns girls national school,2020,Limerick,Y
st.patricks b.n.s (hollypark),19258U,Dream Space Academy for Primary,2020-02-04 09:30:00,04/02/2020 12:30,st.patricks b.n.s (hollypark),2020,Dublin,N
st marys secondary school,65400H,Dream Space Academy for Post-Primary,2020-02-05 14:00:00,05/02/2020 17:00,st marys secondary school,2020,,
st marys secondary school,65400H,Dream Space Academy for Post-Primary,2020-02-05 14:00:00,05/02/2020 17:00,st marys secondary school,2020,,
scoil chaitlín maude,19872P,Dream Space Academy for Primary,2020-02-06 09:30:00,06/02/2020 12:30,scoil chaitlín maude,2020,Dublin,Y
st. flannan’s college,61920N,Dream Space Academy for Post-Primary,2020-02-06 14:00:00,06/02/2020 17:00,st. flannan’s college,2020,Clare,N
glebe national school,14398L,Dream Space Academy for Primary,2020-02-07 09:30:00,07/02/2020 12:30,glebe national school,2020,Wicklow,N
scoil cholmcille termon,14194S,Dream Space Academy for Primary,2020-02-07 14:00:00,07/02/2020 17:00,scoil cholmcille termon,2020,Donegal,Y
st.patricks b.n.s (hollypark),19258U,Dream Space Academy for Primary,2020-02-11 09:30:00,11/02/2020 12:30,st.patricks b.n.s (hollypark),2020,Dublin,N
rathfarnham parish n.s,14939T,Dream Space Academy for Primary,2020-02-11 14:00:00,11/02/2020 17:00,rathfarnham parish n.s,2020,Dublin,N
scoil mhuire convent of mercy,64450R,Dream Space Academy for Post-Primary,2020-02-12 14:00:00,12/02/2020 17:00,scoil mhuire convent of mercy,2020,,
st. brigids gns the park,16353W,Dream Space Academy for Primary,2020-02-13 09:30:00,13/02/2020 12:30,st. brigids gns the park,2020,Dublin,N
our ladys grove,60891E,Dream Space Academy for Post-Primary,2020-02-13 14:00:00,13/02/2020 17:00,our ladys grove,2020,Dublin,N
st daighs n s,19251G,Dream Space Academy for Primary,2020-02-14 09:30:00,14/02/2020 12:30,st daighs n s,2020,Monaghan,N
our ladys secondary school templemore co. tipperary,65440T,Dream Space Academy for Post-Primary,2020-02-14 14:00:00,14/02/2020 17:00,our ladys secondary school templemore co. tipperary,2020,Tipperary,N
st canices gns,18683H,Dream Space Academy for Primary,2020-02-25 09:30:00,25/02/2020 12:30,st canices gns,2020,Dublin,Y
naas community college,76194S,Dream Space Academy for Post-Primary,2020-02-25 14:00:00,25/02/2020 17:00,naas community college,2020,Kildare,N
st. patricks ns,01309L,Dream Space Academy for Primary,2020-02-26 14:00:00,26/02/2020 17:00,st. patricks ns,2020,Meath,N
rockbrook,60321J,Dream Space Academy for Post-Primary,2020-02-27 09:30:00,27/02/2020 12:30,rockbrook,2020,Dublin,N
southern regional college,FURTHER ED,Dream Space Academy for Post-Primary,2020-02-27 14:00:00,27/02/2020 17:00,southern regional college,2020,,
two mile house national school,17968S,Dream Space Academy for Primary,2020-02-28 09:30:00,28/02/2020 12:30,two mile house national school,2020,Kildare,N
st conleth and marys primary school,17872F,Dream Space Academy for Primary,2020-03-03 09:30:00,03/03/2020 12:30,st conleth and marys primary school,2020,Kildare,N
st dominics college,60731F,Dream Space Academy for Post-Primary,2020-03-03 14:00:00,03/03/2020 17:00,st dominics college,2020,Dublin,N
fcj secondary school bunclody co. wexford,63550Q,Dream Space Academy for Post-Primary,2020-03-04 09:30:00,04/03/2020 12:30,fcj secondary school bunclody co. wexford,2020,Wexford,N
st. catherines senior school,17465P,Dream Space Academy for Primary,2020-03-04 14:00:00,04/03/2020 17:00,st. catherines senior school,2020,Dublin,Y
amandas,79018W,Dream Space Academy for Primary,2020-05-01 09:30:00,01/05/2020 12:30,amandas,2020,,
meanscoil gharman,68080H,Dream Space Academy for Post-Primary,2020-06-07 10:58:00,07/06/2020 10:59,meanscoil gharman,2020,Wexford,N
wilsons hospital school,63300Q,Dream Space Academy for Post-Primary,2020-06-07 11:31:00,07/06/2020 11:32,wilsons hospital school,2020,Westmeath,N
abbey community school,91517D,Dream Space Academy for Post-Primary,2020-06-07 12:59:00,07/06/2020 13:00,abbey community school,2020,Meath,N
scoil mochua,19794V,Dream Space Academy for Primary,2020-06-15 08:54:00,15/06/2020 08:55,scoil mochua,2020,Kildare,N
the old borough n.s.,12358M,Dream Space Academy for Primary,2020-06-18 18:57:00,18/06/2020 18:58,the old borough n.s.,2020,Dublin,N
castlerahan ns,19418Q,Dream Space Academy for Primary,2020-06-20 12:14:00,20/06/2020 12:15,castlerahan ns,2020,Cavan,N
kilternan church of ireland ns,16629O,Dream Space Academy for Primary,2020-06-21 13:50:00,21/06/2020 13:51,kilternan church of ireland ns,2020,Dublin,N
scoil dara,61691B,Dream Space Academy for Post-Primary,2020-06-26 11:14:00,26/06/2020 11:15,scoil dara,2020,Kildare,N
cross and passion college,3230227,Dream Space Academy for Post-Primary,2020-06-27 10:53:00,27/06/2020 10:54,cross and passion college,2020,,
holy trinity ns,20190T,Dream Space Academy for Primary,2020-07-04 20:28:00,04/07/2020 20:29,holy trinity ns,2020,Dublin,N
early learning initiative national college of ireland,0000,Dream Space Academy for Primary,2020-08-08 09:44:00,08/08/2020 09:45,early learning initiative national college of ireland,2020,,
john the baptist community school,91502N,Dream Space Academy for Post-Primary,2020-08-09 10:00:00,09/08/2020 10:01,john the baptist community school,2020,Limerick,N
larkin community college,76077O,Dream Space Academy for Post-Primary,2020-08-12 12:25:00,12/08/2020 12:26,larkin community college,2020,Dublin,Y
kildalkey n.s.,19813W,Dream Space Academy for Primary,2020-08-13 22:31:00,13/08/2020 22:32,kildalkey n.s.,2020,Meath,N
taney parish primary school,15284B,Dream Space Academy for Primary,2020-08-15 08:47:00,15/08/2020 08:48,taney parish primary school,2020,Dublin,N
st declans college,60491L,Dream Space Academy for Post-Primary,2020-08-19 09:41:00,19/08/2020 09:42,st declans college,2020,Dublin,N
pobalscoil chorca dhuibhne,91511O,Dream Space Academy for Post-Primary,2020-08-21 23:05:00,21/08/2020 23:06,pobalscoil chorca dhuibhne,2020,Kerry,N
maynooth bns,17341U,Dream Space Academy for Primary,2020-08-22 09:36:00,22/08/2020 09:37,maynooth bns,2020,Kildare,N
st marys bns,17341U,Dream Space Academy for Primary,2020-08-22 09:39:00,22/08/2020 09:40,st marys bns,2020,Kildare,N
donahies community school,91318U,Dream Space Academy for Post-Primary,2020-08-24 16:16:00,24/08/2020 16:17,donahies community school,2020,Dublin,Y
colaiste choilm cbs,60383I,Dream Space Academy for Post-Primary,2020-08-24 20:06:00,24/08/2020 20:07,colaiste choilm cbs,2020,Dublin,N
harold boys ns,1513,Dream Space Academy for Primary,2020-08-26 11:10:00,26/08/2020 11:11,harold boys ns,2020,,
dominican college,62990Q,Dream Space Academy for Post-Primary,2020-08-27 08:47:00,27/08/2020 08:48,dominican college,2020,,
st. davids cbs,60471F,Dream Space Academy for Post-Primary,2020-08-28 15:51:00,28/08/2020 15:52,st. davids cbs,2020,Dublin,Y
st. josephs primary school galbally,5036033,Dream Space Academy for Primary,2020-08-28 16:50:00,28/08/2020 16:51,st. josephs primary school galbally,2020,,
midleton college,62370J,Dream Space Academy for Post-Primary,2020-08-29 08:55:00,29/08/2020 08:56,midleton college,2020,Cork,N
skibbereen community school,91516B,Dream Space Academy for Post-Primary,2020-08-29 15:31:00,29/08/2020 15:32,skibbereen community school,2020,Cork,N
cbs james st.,60410I,Dream Space Academy for Post-Primary,2020-08-30 10:16:00,30/08/2020 10:17,cbs james st.,2020,Dublin,Y
kildare town educate together ns,20403K,Dream Space Academy for Primary,2020-08-30 12:19:00,30/08/2020 12:20,kildare town educate together ns,2020,Kildare,N
presentation senior school,18212O,Dream Space Academy for Primary,2020-09-02 16:07:00,02/09/2020 16:08,presentation senior school,2020,Westmeath,Y
prestation senior school,18212O,Dream Space Academy for Primary,2020-09-02 16:10:00,02/09/2020 16:11,prestation senior school,2020,Westmeath,Y
aquinas grammar school,71271,Dream Space Academy for Post-Primary,2020-09-05 11:22:00,05/09/2020 11:23,aquinas grammar school,2020,,
palmerstown community school,91302F,Dream Space Academy for Post-Primary,2020-09-07 10:26:00,07/09/2020 10:27,palmerstown community school,2020,Dublin,Y
dreamspace v e monday,23423423,Dream Space Academy for Primary,2020-09-07 12:30:00,07/09/2020 14:30,dreamspace v e monday,2020,,
12345,12345,Dream Space Academy for Post-Primary,2020-09-08 12:30:00,08/09/2020 14:30,12345,2020,,
dreamspace v e thursday,234234,Dream Space Academy for Post-Primary,2020-09-10 10:00:00,10/09/2020 12:00,dreamspace v e thursday,2020,,
corey trial,234567,Dream Space Academy for Primary,2020-09-11 10:00:00,11/09/2020 12:00,corey trial,2020,,
st. augustines n.s clontuskert,17919F,Dream Space Academy for Primary,2020-09-11 12:30:00,11/09/2020 14:30,st. augustines n.s clontuskert,2020,Galway,N
willow park junior school,012881651,Dream Space Academy for Primary,2020-09-11 21:47:00,11/09/2020 21:48,willow park junior school,2020,,
st. cremins n.s.,19350I,Dream Space Academy for Primary,2020-09-12 07:56:00,12/09/2020 07:57,st. cremins n.s.,2020,Westmeath,N
boyne community school,91508C,Dream Space Academy for Post-Primary,2020-09-12 09:36:00,12/09/2020 09:37,boyne community school,2020,Meath,Y
kennedy college,71660T,Dream Space Academy for Post-Primary,2020-09-12 12:09:00,12/09/2020 12:10,kennedy college,2020,Wexford,Y
st. furseys,17550G,Dream Space Academy for Primary,2020-09-15 10:00:00,15/09/2020 12:00,st. furseys,2020,Louth,N
st marks community school,91332O,Dream Space Academy for Post-Primary,2020-09-16 10:00:00,16/09/2020 12:00,st marks community school,2020,Dublin,Y
st. josephs grammar school,5420073,Dream Space Academy for Post-Primary,2020-09-16 13:23:00,16/09/2020 13:24,st. josephs grammar school,2020,,
st paul’s primary school navan,19671F,Dream Space Academy for Primary,2020-09-17 10:00:00,17/09/2020 12:00,st paul’s primary school navan,2020,Meath,N
st.peters primary bray,18464S,Dream Space Academy for Primary,2020-09-18 18:24:00,18/09/2020 18:25,st.peters primary bray,2020,Wicklow,Y
colaiste bhaile chlair,76233C,Dream Space Academy for Post-Primary,2020-09-19 13:07:00,19/09/2020 13:08,colaiste bhaile chlair,2020,Galway,N
scoil mhuire gransha,18482U,Dream Space Academy for Primary,2020-09-21 17:47:00,21/09/2020 17:48,scoil mhuire gransha,2020,Monaghan,Y
st philomenas ns,16928B,Dream Space Academy for Primary,2020-09-22 10:00:00,22/09/2020 12:00,st philomenas ns,2020,Offaly,Y
ard scoil na mara,68141B,Dream Space Academy for Post-Primary,2020-09-22 12:30:00,22/09/2020 14:30,ard scoil na mara,2020,Waterford,N
st olivers ns,02322I,Dream Space Academy for Primary,2020-09-23 07:32:00,23/09/2020 07:33,st olivers ns,2020,Louth,N
st olivers ns,02322I,Dream Space Academy for Primary,2020-09-23 07:32:00,23/09/2020 07:33,st olivers ns,2020,Louth,N
coláiste pobail osraí,70641K,Dream Space Academy for Post-Primary,2020-09-23 10:00:00,23/09/2020 12:00,coláiste pobail osraí,2020,Kilkenny,N
bremore educate together secondary schiol,68262N,Dream Space Academy for Post-Primary,2020-09-24 12:30:00,24/09/2020 14:30,bremore educate together secondary schiol,2020,Dublin,N
lucan educate together national school,20066S,Dream Space Academy for Primary,2020-09-24 16:41:00,24/09/2020 16:42,lucan educate together national school,2020,Dublin,N
galway educate together secondary school,68347V,Dream Space Academy for Post-Primary,2020-09-24 20:36:00,24/09/2020 20:37,galway educate together secondary school,2020,Galway,N
cbslucan,60264A,Dream Space Academy for Post-Primary,2020-09-24 21:22:00,24/09/2020 21:23,cbslucan,2020,Dublin,N
st annes sec school,65500L,Dream Space Academy for Post-Primary,2020-09-25 10:00:00,25/09/2020 12:00,st annes sec school,2020,Tipperary,N
creagh college,76127D,Dream Space Academy for Post-Primary,2020-09-25 10:40:00,25/09/2020 10:41,creagh college,2020,Wexford,N
monkstown et,20060G,Dream Space Academy for Primary,2020-09-28 10:00:00,28/09/2020 12:00,monkstown et,2020,Dublin,N
coola post primary school,72310U,Dream Space Academy for Post-Primary,2020-09-29 10:00:00,29/09/2020 12:00,coola post primary school,2020,Sligo,N
st. leos college,61140K,Dream Space Academy for Post-Primary,2020-09-29 12:30:00,29/09/2020 14:30,st. leos college,2020,Carlow,N
convent of mercy roscommon,65090S,Dream Space Academy for Post-Primary,2020-09-29 19:05:00,29/09/2020 19:06,convent of mercy roscommon,2020,Roscommon,N
st johns prep school,102065,Dream Space Academy for Primary,2020-09-30 09:40:00,30/09/2020 09:41,st johns prep school,2020,,
st andrews ns,12014D,Dream Space Academy for Primary,2020-10-01 10:00:00,01/10/2020 12:00,st andrews ns,2020,Dublin,N
rathgar junior school & kindergarten,D06 WC04,Dream Space Academy for Primary,2020-10-02 10:00:00,02/10/2020 12:00,rathgar junior school & kindergarten,2020,,
gorey community school,91492N,Dream Space Academy for Post-Primary,2020-10-02 12:30:00,02/10/2020 14:30,gorey community school,2020,Wexford,N
st. olafs ns,19319O,Dream Space Academy for Primary,2020-10-04 08:35:00,04/10/2020 08:36,st. olafs ns,2020,Dublin,N
st josephs college,65241N,Dream Space Academy for Post-Primary,2020-10-05 10:00:00,05/10/2020 12:00,st josephs college,2020,Tipperary,N
st josephs college,65241N,Dream Space Academy for Post-Primary,2020-10-05 10:00:00,05/10/2020 12:00,st josephs college,2020,Tipperary,N
de la salle college,60310E,Dream Space Academy for Post-Primary,2020-10-06 12:30:00,06/10/2020 14:30,de la salle college,2020,Dublin,N
st. canices bns,18682F,Dream Space Academy for Primary,2020-10-07 10:00:00,07/10/2020 12:00,st. canices bns,2020,Dublin,Y
gaelscoil de híde,20126K,Dream Space Academy for Primary,2020-10-07 12:30:00,07/10/2020 14:30,gaelscoil de híde,2020,Roscommon,N
